date_local,PM10
2016-01-01,9.0
2016-01-07,16.0
2016-01-13,28.0
2016-01-19,21.0
2016-01-25,23.0
2016-01-31,22.0
2016-02-12,28.0
2016-02-18,21.0
2016-02-24,72.0
2016-03-01,26.0
2016-03-07,21.0
2016-03-13,21.0
2016-03-19,14.0
2016-03-25,22.0
2016-03-31,28.0
2016-04-06,26.0
2016-04-12,15.0
2016-04-18,7.0
2016-04-24,23.0
2016-04-30,22.0
2016-05-06,28.0
2016-05-12,21.0
2016-05-18,10.0
2016-05-24,28.0
2016-05-30,14.0
2016-06-05,15.0
2016-06-11,23.0
2016-06-17,28.0
2016-06-23,19.0
2016-06-29,20.0
2016-07-05,25.0
2016-07-11,81.0
2016-07-17,15.0
2016-07-23,22.0
2016-07-29,24.0
2016-08-04,19.0
2016-08-10,25.0
2016-08-22,26.0
2016-08-28,14.0
2016-09-03,26.0
2016-09-09,30.0
2016-09-15,31.0
2016-09-21,29.0
2016-09-27,18.0
2016-10-03,31.0
2016-10-09,21.0
2016-10-15,16.0
2016-10-21,20.0
2016-10-27,27.0
2016-11-02,17.0
2016-11-08,8.0
2016-11-14,23.0
2016-11-20,21.0
2016-11-26,19.0
2016-12-02,17.0
2016-12-08,11.0
2016-12-14,27.0
2016-12-20,21.0
2016-12-26,15.0
